epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3577.59,0.53263,0.40737,0.87436,0.91686,0.85149,0.9268,0.79903,0.50213,0.35571,0.8512,0.003565,0.003565,0.003565
67,3642.85,0.52449,0.40451,0.87059,0.9191,0.88637,0.93891,0.8041,0.49612,0.35168,0.85205,0.003466,0.003466,0.003466
68,3707.73,0.52762,0.4084,0.87664,0.90929,0.87999,0.94056,0.80858,0.4917,0.35193,0.85134,0.003367,0.003367,0.003367
69,3773.07,0.52135,0.399,0.87052,0.91295,0.88392,0.93778,0.8109,0.48796,0.35129,0.84863,0.003268,0.003268,0.003268
70,3837.97,0.52211,0.39792,0.87215,0.8915,0.90791,0.94224,0.80738,0.49102,0.35596,0.84956,0.003169,0.003169,0.003169
71,3903.07,0.52242,0.38857,0.87319,0.90952,0.9081,0.9442,0.81178,0.49237,0.35462,0.85045,0.00307,0.00307,0.00307
72,3968.13,0.5169,0.39404,0.87186,0.91777,0.90662,0.94496,0.81231,0.49275,0.35153,0.85011,0.002971,0.002971,0.002971
73,4033.21,0.51354,0.38611,0.86923,0.92437,0.90808,0.94936,0.82082,0.49228,0.35563,0.84965,0.002872,0.002872,0.002872
74,4098.05,0.51045,0.37633,0.86901,0.9296,0.88366,0.94062,0.81549,0.48503,0.35183,0.84685,0.002773,0.002773,0.002773
75,4163.3,0.50878,0.37128,0.86408,0.91274,0.88655,0.93715,0.81477,0.48699,0.35152,0.8457,0.002674,0.002674,0.002674
76,4228.63,0.50983,0.37286,0.86592,0.90603,0.88145,0.93725,0.8177,0.48123,0.34737,0.84667,0.002575,0.002575,0.002575
77,4294.18,0.49884,0.36232,0.86366,0.91604,0.8841,0.94028,0.82107,0.4793,0.34504,0.84613,0.002476,0.002476,0.002476
78,4359.57,0.4988,0.36541,0.86461,0.92254,0.88172,0.94046,0.8186,0.47853,0.34114,0.84467,0.002377,0.002377,0.002377
79,4424.78,0.49483,0.35968,0.86241,0.93108,0.87852,0.94015,0.8158,0.4781,0.34312,0.84485,0.002278,0.002278,0.002278
80,4489.58,0.48945,0.35161,0.86265,0.92364,0.89076,0.93969,0.81731,0.47702,0.3473,0.84458,0.002179,0.002179,0.002179
81,4554.33,0.49032,0.34983,0.85735,0.92964,0.88432,0.93161,0.81676,0.47714,0.34718,0.84434,0.00208,0.00208,0.00208
82,4619.58,0.4916,0.34281,0.86147,0.92934,0.88567,0.93307,0.82142,0.47845,0.34632,0.84491,0.001981,0.001981,0.001981
83,4684.58,0.48654,0.346,0.86326,0.9331,0.88819,0.93426,0.81618,0.47591,0.34371,0.84501,0.001882,0.001882,0.001882
84,4749.47,0.48199,0.33899,0.85716,0.9321,0.89112,0.9357,0.82045,0.47501,0.34225,0.84454,0.001783,0.001783,0.001783
85,4814.2,0.47913,0.333,0.8552,0.93377,0.89027,0.93735,0.82254,0.47514,0.33996,0.84371,0.001684,0.001684,0.001684
86,4879.33,0.47647,0.32624,0.85665,0.93103,0.89334,0.93759,0.8219,0.47458,0.3406,0.84308,0.001585,0.001585,0.001585
87,4944.28,0.46854,0.32542,0.85394,0.92897,0.89423,0.9392,0.82363,0.476,0.33988,0.84257,0.001486,0.001486,0.001486
88,5009.78,0.46956,0.32343,0.857,0.9305,0.89099,0.9403,0.82673,0.47788,0.33972,0.84169,0.001387,0.001387,0.001387
89,5074.83,0.46832,0.32552,0.85067,0.91373,0.90372,0.94537,0.82562,0.47614,0.33802,0.8415,0.001288,0.001288,0.001288
90,5140.28,0.45999,0.31782,0.85176,0.91321,0.90559,0.94511,0.81608,0.47597,0.33738,0.84131,0.001189,0.001189,0.001189
91,5206.09,0.43282,0.26822,0.82896,0.91675,0.91866,0.94865,0.82844,0.47568,0.3378,0.8407,0.00109,0.00109,0.00109
92,5270.88,0.42665,0.2556,0.82179,0.91767,0.92117,0.94887,0.82943,0.47496,0.33761,0.84039,0.000991,0.000991,0.000991
93,5335.23,0.42372,0.25449,0.82593,0.91679,0.92249,0.95011,0.83067,0.47446,0.33669,0.84043,0.000892,0.000892,0.000892
94,5400.1,0.42003,0.2483,0.82529,0.91343,0.9253,0.95038,0.83296,0.47318,0.33572,0.84003,0.000793,0.000793,0.000793
95,5464.38,0.41421,0.24346,0.82198,0.93031,0.92232,0.95186,0.83475,0.47181,0.33434,0.83938,0.000694,0.000694,0.000694
96,5528.88,0.40842,0.24093,0.82003,0.92726,0.92614,0.95223,0.83339,0.46993,0.33384,0.83936,0.000595,0.000595,0.000595
97,5593.31,0.40501,0.23764,0.82016,0.92622,0.92814,0.9535,0.83568,0.46938,0.33301,0.83934,0.000496,0.000496,0.000496
98,5657.45,0.4021,0.23419,0.82073,0.91871,0.92915,0.95442,0.84197,0.4686,0.33198,0.83903,0.000397,0.000397,0.000397
99,5722.39,0.39974,0.23296,0.81742,0.91894,0.92919,0.95424,0.84252,0.46793,0.3312,0.83876,0.000298,0.000298,0.000298
100,5786.86,0.39828,0.2312,0.81925,0.9196,0.92834,0.95399,0.84322,0.46704,0.33115,0.83852,0.000199,0.000199,0.000199
